"id","seed","demoQuestion1","demoQuestion2","demoQuestion3","demoQuestion3[other]","demoQuestion4","demoQuestion5","demoQuestion6","demoQuestion7","demoQuestion8","demoQuestion9","demoQuestion9[other]","demoQuestion10","demoQuestion10[other]","demoQuestion11[1]","demoQuestion11[2]","demoQuestion11[3]","demoQuestion11[4]","Z1[01]","Z1[02]","Z1[03]","Z1[04]","Z1[05]","Z1[06]","Z1[07]","Z1[08]","Z1[09]","Z1[10]","Z2[1]","Z3[1]","Z4[1]","Z5[1]","Z6[1]","Z7[1]","Z8[1]","Z9[1]","Z10[1]","Z11[1]","Z12","Z13","Z14","Z15","M1[01]","M1[02]","M1[03]","M1[04]","M1[05]","M1[06]","M1[07]","M1[08]","M1[09]","M1[10]","M2[1]","M3[1]","M4[1]","M5[1]","M6[1]","M7[1]","M8[1]","M9[1]","M10[1]","M11[1]","M12","M13","M14","M15","G1[01]","G1[02]","G1[03]","G1[04]","G1[05]","G1[06]","G1[07]","G1[08]","G1[09]","G1[10]","G2[1]","G3[1]","G4[1]","G5[1]","G6[1]","G7[1]","G8[1]","G9[1]","G10[1]","G11[1]","G12","G13","G14","G15","F1","F2","F3"
"1","1547114136","Female","55-64","Teacher","","Bangladesh ","Yes","University Laboratory School and College ","Many times a week","6-7 hours","Zoom","","Education","","Yes","No","No","No","2","3","2","2","1","0","2","3","-3","-1","6","2","6","5","7","1","7","2","2","2","Personal space","No help option","A help option can be included","Need some external options like help during connectivity  issues.","2","2","2","1","2","2","2","2","-2","-2","5","2","6","6","6","3","5","5","5","5","Team  activity panel","No breakout room option is visible","On meating breakout room","Yes","3","2","2","3","2","1","1","1","2","-1","5","2","6","2","6","6","6","2","6","2","On call help feature","No team seaction","Personal spcae ","Not enough ","Zoom","Microsoft Teams","Microsoft Teams"
"2","1310421751","Male","15-24","Student","","Bangladesh","Yes","East West University ","Once or twice a month","6-7 hours","Google Meet","","Other","Interviews ","No","Yes","No","No","2","0","-1","-2","-2","-2","-2","-2","2","1","5","3","5","2","4","2","6","3","6","4","Its Flexibility ","The Fonts ","The Fonts ","Yes","3","0","-1","-1","-3","-3","-3","-1","2","2","6","4","5","5","7","2","5","4","5","5","Its variety ","a bit of complicated ","complications ","Yes","3","3","3","2","2","1","3","2","0","0","7","1","6","1","6","2","7","1","7","4","its simplicity ","Features ","Features ","Yes","Google Meet","Google Meet","Microsoft Teams"
"8","2072764947","Female","25-34","Student","","Germany","Yes","Frankfurt university of applied sciences","Many times a day","6-7 hours","Zoom","","Education","","No","Yes","No","No","2","2","2","1","1","2","1","3","1","1","5","6","6","1","5","5","4","7","7","6","Easy to use","Nothing","Structured","Yes","3","3","3","3","3","3","3","3","0","-3","4","4","3","4","5","4","5","4","6","6","Easy to use","Nothing","Position of features","Yes","3","3","2","3","0","2","3","3","-2","1","4","4","4","4","5","1","3","3","1","1","Easy to use","Nothing","Nothing","Yes","Microsoft Teams","Microsoft Teams","Microsoft Teams"
"9","1012068007","Male","25-34","IT Professional","","Bangladesh ","Yes","BRAC University ","Many times a day","4-5 hours","Slack","","Other","Work","Yes","Yes","No","No","2","1","2","3","1","1","3","3","-3","-3","7","1","7","1","6","3","6","2","7","3","Screen sharing","While screen sharing and watching a video the audio quality decreases ","Improve audio quality","Yes","1","1","2","-1","1","0","1","2","-1","-1","5","4","4","4","4","4","4","4","4","4","Na","Na","Na","Na","0","0","0","0","0","0","0","0","0","-1","3","3","5","4","5","6","4","5","4","6","Na","Na","Na","Na","Zoom","Zoom","Zoom"
"11","1179238958","Male","35-44","Other","Data Analyst","India","No","","Many times a day","4-5 hours","Skype","","Meetings","","No","Yes","No","No","3","3","2","3","2","3","1","3","-1","-3","1","7","7","6","6","1","6","1","7","5","This application has made life for people to attend courses online during Pandemic situation
","None","None","Yes","3","3","3","3","3","3","3","3","-3","-3","7","1","7","1","7","1","7","1","7","1","Virtual official meeting are possible very easily..","None","None","None","3","2","2","2","3","3","3","3","3","-3","7","2","7","1","6","1","6","3","5","7","Good and safe application for personal video calls","None","None","Yes","Microsoft Teams","Microsoft Teams","Microsoft Teams"
"16","1904763161","Female","25-34","IT Professional","","Bangladesh","Yes","MyAlice Labs","Many times a day","10 hours or more","Google Meet","","Meetings","","No","No","Yes","No","3","3","2","3","2","3","2","1","-2","-2","5","1","7","1","7","2","5","3","7","1","It's very simple also there are many videos available online related to the software","I have to download the desktop software","Without login, I should be able to use this platform as a guest","yes","-2","-1","-2","-3","-3","-3","-1","-2","1","3","1","4","2","3","3","2","2","2","3","3","The first look is very complex","The interface and design","The color combination and the design","Do not think so","3","3","3","3","3","3","3","3","-3","-3","7","1","7","1","7","1","7","5","7","1","Easy to use, very simple","The recording option should be available ","The recording option should be available in free pack","Yes","Google Meet","Zoom","Google Meet"
"20","1953627168","Male","15-24","Student","","Bangladesh","Yes","University of Asia Pacific","Many times a day","6-7 hours","Google Meet","","Education","","No","No","Yes","No","2","3","2","1","3","3","3","2","-1","-2","5","6","4","1","5","3","6","4","5","1","Video calls, duh!","Unnecessary features make it difficult to find relevant ones.","Make it simpler and with less options. Too many is bad.","Yes.","2","2","-1","3","2","3","3","2","0","-2","1","1","5","1","4","4","6","7","4","1","Nothing","Too resource-hungry.","Don't know.","Maybe.","3","3","3","3","3","3","3","2","-3","-2","7","1","7","1","7","1","7","1","7","1","The right amount of features displayed in a simplistic way.","What's not to like?","If it works, don't change it.","Yes.","Google Meet","Google Meet","Google Meet"
"23","1345804475","Male","25-34","IT Professional","","Bangladesh","Yes","AST","Once or twice a month","0-1 hour","Slack","","Meetings","","No","Yes","No","No","3","3","2","3","1","2","2","2","0","-1","6","1","6","1","4","3","6","4","7","2","Simplicity","Nothing","I would like to remove topbar/ navbar and organize everything to sidebar","Yes","3","3","2","3","3","2","2","3","-2","1","6","2","6","1","2","1","6","1","7","7","Well instructed ui","Nothing","Color combination change","Yes","3","3","3","3","3","2","2","2","-2","0","7","1","7","1","4","1","7","2","7","7","Optimized use of space","Modals","Less use of modals","Yes","Zoom","Zoom","Zoom"
"24","920356988","Female","15-24","Student","","Bangladesh","Yes","European Standard School","Many times a day","8-9 hours","Skype","","Meetups","","No","Yes","No","No","3","0","0","0","0","0","0","0","3","3","6","1","7","1","7","1","7","7","7","1","Visual","Nothing","Nothing","Yes","3","0","0","0","0","0","0","0","0","3","7","1","7","1","7","1","7","7","7","1","Visuals","Nothing","Nothing","Yes","0","0","0","-3","-3","0","0","0","0","0","7","1","7","1","7","1","7","7","7","1","Visuals","Nothing","Nothing","Yes","Zoom","Zoom","Zoom"
"25","1878273351","Male","35-44","Other","Architect","Bangladesh","Yes","Stamford University Bangladesh","Once or twice a year","0-1 hour","Zoom","","Meetings","","No","Yes","No","No","2","2","2","3","3","1","0","2","-3","-1","6","2","6","2","6","2","6","2","6","1","Group of people meeting","User interface ","Design of the interface","Yes","2","2","2","2","2","2","2","2","-2","-2","6","2","6","1","6","2","6","6","6","2","Mass people communication","Interface","User interface","Yes","2","2","2","2","2","1","2","2","-2","2","6","2","6","2","6","2","6","6","6","2","Mass Communication","Look","User interface","Yes","Zoom","Zoom","Zoom"
"29","2097327178","Female","25-34","Student","","Bangladesh","No","","Many times a day","2-3 hours","Zoom","","Education","","No","Yes","No","No","2","3","3","1","0","0","1","2","-3","0","3","2","6","5","6","2","7","1","6","4","camera & audio control","anyone can join the meetings","privacy of the meetings","no","1","1","1","2","0","0","0","0","-1","-1","5","3","5","3","5","4","5","4","4","4","nothing","nothing","nothing","not sure","2","2","2","-2","0","1","1","0","-1","-1","3","6","2","3","3","5","3","6","4","4","call duration","the software is a bit complicated to use","chatting system","yes","Zoom","Zoom","Zoom"
"30","1809563057","Male","25-34","Student","","Bangladesh","Yes","United International University","Many times a day","4-5 hours","Google Meet","","Education","","Yes","Yes","Yes","No","2","2","2","2","0","0","-1","0","-1","-1","3","3","3","2","4","4","5","4","3","3","low data transmition","too heavy","performance","no","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","fast","less marketing","marketing","yes","3","3","3","3","3","3","3","3","-3","-3","7","1","7","1","7","1","7","4","7","1","lite web app","less feature","sharing digital white board","yes","Google Meet","Zoom","Microsoft Teams"
"31","2057182014","Female","25-34","Other","Private Service ","Bangladesh","No","","Many times a day","6-7 hours","Google Meet","","Meetings","","Yes","No","Yes","No","1","2","1","1","-2","-1","-1","0","-1","0","4","4","4","1","5","5","4","5","7","3","Clearly written buttons / options","Colors, Design","Colors and UI","Yes","2","2","1","1","2","2","2","2","-2","-1","5","3","6","1","5","2","4","2","7","1","Appearance, simplicity ","Icons","Icons","Yes","1","0","0","-1","1","1","2","0","-2","-1","6","3","6","2","5","2","5","3","7","3","Simplicity ","Appearance ","Appearance and colors. ","Yes","Google Meet","Zoom","Microsoft Teams"
"33","752301133","Female","25-34","IT Professional","","Bangladesg","No","","Many times a day","4-5 hours","Skype","","Meetings","","Yes","No","No","No","3","3","3","3","2","2","0","3","-3","-3","6","1","7","1","7","4","3","1","7","2","Its UI.. I finf it attractive.","Nothing.","Profile visibility can be change and more information could be add.","I agree.","3","3","3","3","2","3","0","0","-3","-3","7","1","7","1","7","7","7","7","7","7","Its UI.","Nothing.","More user information could be add.","Yes,but for future we could add more features.","1","3","2","3","-3","-3","-3","0","0","1","5","1","1","1","4","3","5","2","7","1","Most easier, user friendly."," Internet connection need tp be very strong, sometimes in remote area it cant easy to use.","More features for a total package.","no.","Google Meet","Zoom","Google Meet"
"38","2012422387","Female","25-34","IT Professional","","Bangladesh","No","","Many times a day","10 hours or more","Other","Facebook","Meetings","","Yes","No","No","No","2","2","2","3","3","1","2","3","-3","-3","7","2","7","1","7","1","7","1","7","1","Suitable","Nothing","Easier for meetings","Yes","3","3","3","3","3","3","3","3","3","3","7","1","7","7","7","1","7","1","7","7","Interface","Nothing","Nothing","Yes","3","3","3","3","3","3","3","3","-3","-3","7","7","7","7","7","7","7","1","7","7","Felxibility","More menu navigation","Menu navigation","Yes","Zoom","Microsoft Teams","Microsoft Teams"
"40","1062583732","Male","25-34","Student","","Bangladesh","Yes","Ahsanullah University of Science & Technology","Many times a day","4-5 hours","Zoom","","Education","","No","Yes","No","No","0","2","0","-1","0","0","2","0","-2","-2","6","4","4","1","4","4","2","6","5","2","Virtual Background","We can not copy the text from the chat","I will try to lessen the data consumption","Yes.","0","-2","1","-1","0","-2","0","1","-2","0","4","6","3","5","4","6","3","4","2","4","Assignments ","Calls","Everything seems okay to me. ","No.","0","1","2","3","0","0","-3","0","-3","0","7","2","7","1","4","4","7","4","6","1","Google calendar integration ","Can't create multiple meetings for later without the calendar ","Nil","Yes","Google Meet","Zoom","Google Meet"
"41","1669255008","Male","25-34","Student","","Bangladesh ","Yes","United International University ","Many times a day","10 hours or more","Other","Discord ","Meetups","","No","Yes","No","No","-1","-2","-3","-1","-3","-3","-2","-3","3","1","1","5","4","3","3","6","4","4","4","4","I really don't like zoom","If you sit idly few minutes it changes audio output ","Audio output changes","Nope","-3","-3","-2","-1","-1","-3","-3","-2","-1","-1","1","6","1","5","4","4","4","4","2","3","Never used this","Never used this ","Never used this ","Never used this ","3","3","3","3","0","0","0","2","-3","0","6","1","7","2","5","3","6","3","7","1","Pin system","Grid view ","I don't know ","Yes","Google Meet","Google Meet","Google Meet"
"42","1560507358","Female","25-34","Student","","Bangladesh","Yes","Ahsanullah University of Science and Technology","Many times a day","6-7 hours","Zoom","","Meetings","","No","No","Yes","No","1","1","1","2","1","0","1","2","-2","-1","4","3","6","3","6","3","2","6","4","2","Able to create breakout rooms and conduct polls. I also like that the host is able to control who is mute. ","The host is unable to unmute someone, so I dislike that. Software is very heavy. So when used with other heavy software everything crashes. ","Make the software a little lightweight. Also, free users cannot schedule meetings at all times. ","More or less. ","0","0","0","0","0","0","0","2","-1","-1","3","3","3","3","4","4","4","4","4","4","Never used it.","Never used it.","Never used it.","Never used it.","0","2","1","-1","0","0","0","1","-1","-1","6","4","6","1","4","3","5","4","7","2","Can continue a meeting for as long as I want to and no need to buy the software.","The interface can be improved. Some features are hard to find. ","The interface.","Yes. But can be improved. ","Google Meet","Zoom","Zoom"
"43","1894919278","Male","25-34","IT Professional","","Bangladesh","No","","Many times a day","6-7 hours","Zoom","","Meetings","","No","Yes","No","No","3","0","3","3","0","0","-2","3","2","-2","7","1","7","1","5","1","7","4","7","1","Very simple to learn","less scecure","I would recommend free meeting for education.","Not very much ","3","0","0","-1","2","3","0","3","-3","-3","7","5","3","4","7","1","1","4","7","7","Many things in a one place ","Frequent crash ","less compiling time ","Might be ","3","3","0","3","0","-1","-3","2","-2","-2","4","1","7","1","7","3","7","1","7","1","Easy to jump into a meeting ","Screen mirroring issue while mid level internet connection","Enable Screen sharing even in low level internet connection","Yes","Zoom","Microsoft Teams","Microsoft Teams"
"44","248107394","Male","25-34","IT Professional","","Bangladesh","Yes","Ahsanullah University of Science and Technology","Many times a day","2-3 hours","Google Meet","","Meetings","","No","No","Yes","No","3","2","3","1","0","3","2","1","-3","-3","5","1","6","1","7","1","5","1","7","3","Schedule view on dashboard","Complicated contacts view","Add invitation by email option in meeting details view","Yes","-2","0","-1","-2","1","-1","0","2","1","3","1","5","5","5","4","4","1","3","2","6","Tabs at the top of a channel","The message box","The message box","Somewhat","3","2","3","3","1","3","3","2","-3","-1","7","3","6","1","7","2","7","1","6","2","Audio/video settings","No schedule/bookmark view","Add option to bookmark meetings","Yes","Google Meet","Microsoft Teams","Google Meet"
"45","1740994077","Male","25-34","Teacher","","Bangladesh","Yes","Ahsanullah University of Science and Technology","Many times a day","2-3 hours","Google Meet","","Education","","Yes","Yes","Yes","No","3","3","1","-1","2","1","0","2","-3","-3","5","4","6","1","5","2","6","2","7","6","Recording, breakout room, and Annotation while screen sharing","limited number of participants and time","Increase time duration","Yes","2","2","2","2","1","1","0","2","-1","0","1","5","5","2","3","4","3","2","6","5","I have not used it. So no comments.","No comments.","No comments.","May be.","3","3","3","3","2","2","0","2","-3","-2","7","1","7","1","7","2","7","1","7","1","Recording and screen sharing","Participants can not be able to join automatically.","Participants can not be able to join automatically. So I will make it automatic.","Yes","Google Meet","Zoom","Zoom"
"46","1559417251","Female","25-34","Student","","Bangladesh ","Yes","bangladesh dental college ","Once or twice a year","2-3 hours","Zoom","","Education","","Yes","No","No","No","3","3","2","3","1","1","-3","3","-2","0","4","2","7","1","6","3","7","4","5","1","easy to learn","too much functions in one app","would reduce the number of options and made it simple ","yes","3","2","2","3","3","2","1","2","-3","0","5","1","7","1","7","2","7","4","6","1","easy and simple","nothing ","no need to change…its perfect ","yes","3","2","2","3","1","2","-3","3","-3","0","5","1","7","1","7","1","6","4","5","1","it looks easy","nothing ","nothing ","yeah","Google Meet","Zoom","Google Meet"
"47","620549071","Female","15-24","Student","","Bangladesh","No","","Many times a day","2-3 hours","Google Meet","","Education","","No","Yes","No","No","0","1","0","0","0","1","1","0","-1","-1","5","4","2","2","3","3","3","5","4","6","I liked the audio mood","Video mood","Video mood","Yes","-3","-2","-1","-2","-2","-2","-3","-2","-2","0","2","2","3","4","5","5","3","5","5","5","I like the team management","Nothing","Nothing","Don't know","0","0","0","0","-1","-2","0","-1","-2","-2","3","3","5","4","5","5","5","5","4","3","Everything","Nothing","Nothing","Hopefully yes","Zoom","Zoom","Zoom"
"49","1150953143","Prefer not to say","25-34","Student","","United Kingdom","Yes","Leeds Beckett University ","Many times a day","6-7 hours","Microsoft Teams","","Other","Entertainment ","Yes","Yes","Yes","No","2","-2","1","3","0","-3","-3","0","-2","0","4","2","6","7","7","7","7","7","1","1","It is free","Data privacy issues","Stronger data privacy ","Yes","-2","2","1","-1","0","2","0","0","-2","0","7","3","3","2","4","3","2","3","7","1","Looks","Unnecessary features","Reduce features for only simple things.","Yes","-2","-1","2","0","0","-3","-3","0","-2","0","7","2","7","2","6","3","5","2","7","1","Synced to Gmail account","Nothing","Bandwidth issues maybe ","Yes","No preference","No preference","No preference"
"50","1520785020","Female","25-34","Student","","USA","Yes","university of texas at arlington ","Many times a week","6-7 hours","Microsoft Teams","","Education","","No","Yes","No","No","3","-2","-2","-2","-2","-2","-2","-2","3","3","6","2","5","1","7","1","7","1","7","5","well organized","nothing ","nothing ","yes","3","-3","-3","-3","-3","-3","-3","-3","-3","-3","7","1","7","1","7","1","7","1","7","7","everything ","nothing","nothing ","yes","3","3","3","3","3","3","3","3","-3","-3","7","1","7","1","7","1","7","1","7","1","everything ","nothing","nothing","yes","Microsoft Teams","Microsoft Teams","Microsoft Teams"
"51","855889534","Male","25-34","IT Professional","","Bangladesh","Yes","Cefalo","Many times a day","2-3 hours","Google Meet","","Meetings","","No","Yes","Yes","No","-2","-1","0","0","0","0","0","0","0","0","1","6","5","1","5","2","2","5","6","2","Meeting record","Had to manually import meetings from my email account. Support for linux distro is bad","Make the on-boading easier","Yes","0","0","0","0","0","0","0","0","0","0","2","3","3","1","3","3","3","3","4","1","Didn't use it much","Didn't use it much","No comment","Not sure","2","2","2","2","2","2","2","2","-2","0","7","1","7","1","7","1","1","7","7","1","Browser support is pretty good","No meeting record","Add record feature","Yes","Google Meet","No preference","No preference"
"57","696894943","Male","25-34","Teacher","","Bangladesh","Yes","Ahsanullah University of Science and Technology","Many times a day","6-7 hours","Google Meet","","Meetings","","No","Yes","No","No","-2","-1","2","-1","-1","0","0","0","0","0","3","6","3","3","5","4","3","4","4","6","User Interface","Connection is too heavy, lags most of the time.","Connectivity issues","May be","0","1","1","0","0","0","0","2","2","2","4","4","6","4","4","3","5","4","4","7","User interface","Have not used it","Nothing","May be","3","3","3","3","3","3","2","3","-2","-3","7","1","7","1","7","1","7","4","7","2","Simplicity to use","Cannot share video and audio without browser tab","Video with audio sharing system","Yes","Google Meet","Google Meet","Google Meet"
"59","730084300","Male","25-34","Other","Businessman","Bangladesh","Yes","Canadian University of Bangladesh","Many times a week","6-7 hours","Zoom","","Meetings","","Yes","No","No","No","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","Easy and free","low vdo quality","Strong Server","Overall","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","Interface","low quality communication","Sever issue","Overall","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","Easy and free","interface","server","overall","Zoom","Zoom","Zoom"
"61","1688466622","Male","25-34","IT Professional","","Bangladesh","No","","Many times a week","2-3 hours","Skype","","Meetings","","No","No","Yes","No","2","0","0","0","1","1","1","2","-2","-2","7","1","7","7","7","7","4","4","4","4","Prefessional","Nothing","None","Yes","0","1","1","1","-1","0","2","1","-3","-2","4","4","4","4","4","4","4","4","4","4","Stylish","None","None","Yes","3","1","0","3","0","0","2","3","-2","-2","5","1","6","1","7","4","7","7","7","4","Simple","None","None","Yes","Google Meet","Zoom","No preference"
"62","1714114186","Female","25-34","Other","Translator","Bangladesh","No","","Once or twice a month","2-3 hours","Google Meet","","Education","","No","Yes","No","No","2","3","3","1","2","0","3","3","-3","-3","2","1","6","1","6","4","3","5","6","5","Call quality, Notification before call timeout. ","Account setting procedure, 40 minute time for normal users. ","I will increase the session time at least to 1 hour. ","Yes.","2","1","2","-1","1","1","3","2","-3","-3","4","2","6","2","7","2","5","6","6","6","Interface of the application.","It's quite complicated. ","Nothung.","Yes.","2","3","3","3","1","1","0","1","-2","-2","6","1","7","1","7","2","7","2","7","4","Simplicity, No limitation for call time. ","Video quality. ","Video quality, recording system.","Yes. ","Google Meet","Zoom","Zoom"
"63","630986595","Female","25-34","Other","Development Worker","Bangladesh ","Yes","Jahangirnagar University ","Many times a day","2-3 hours","Zoom","","Meetings","","No","Yes","No","No","-1","1","1","-1","1","-1","1","0","-1","1","4","5","3","1","4","4","5","4","4","5","Engage large participants","No auto meeting invitation in google calender","I would add minimization of app while recording","Yes","-1","0","0","-1","1","-1","0","0","0","0","1","2","2","3","3","3","3","4","3","6","I do not use the app","N/a","N/A","N/A","1","1","1","1","0","0","0","1","-1","0","1","1","7","1","3","4","7","1","7","2","Easy Invitation through Google calender ","No record option","Limited time","No","Google Meet","Zoom","Zoom"
"65","1739539544","Male","15-24","Student","","Bangladesh","No","","Many times a day","8-9 hours","Zoom","","Meetups","","Yes","No","No","No","2","3","2","2","2","2","2","2","-3","-2","7","2","5","1","6","2","7","2","5","7","the communication system","nothing","will let you know, soon.","yes","2","2","2","2","2","3","1","2","-2","-1","6","4","5","1","5","4","7","2","4","6","many things","nothing yet","don't think, would want to change it","yeah","0","3","2","3","3","3","0","3","-3","-3","4","5","4","5","7","1","7","1","5","7","meetup became easy","nothing ","will let you know","yesss","Zoom","Zoom","Zoom"
"67","2031929927","Male","25-34","IT Professional","","Japan","Yes","IBI Inc.","Many times a day","4-5 hours","Google Meet","","Meetings","","Yes","No","Yes","No","0","2","2","0","0","3","1","0","0","0","4","2","5","2","6","4","5","5","5","3","I like the User Interface of the system. ","I think the text “External” is a little bit tough for mass population.","I would add white board option in the system.","Mostly enough. For meeting, I would recommend if the presentation method system of screen sharing is similar to google meet.","-1","-1","0","0","-1","0","0","-1","0","-1","3","3","3","2","3","4","4","4","3","3","I liked the team making system most.","I think color combination is not good","I should change color combination and menu icons a little more detailed.","I think the various options is the main key to choose this platform. This is good for it persons but average for general person.","3","2","3","1","1","0","2","1","-2","-2","7","2","6","2","7","2","5","4","6","2","From a single account multiple device can be attached in meeting.","There is no separated dashboard for meet.","Direct Integration to other calendar like Microsoft, Ios calendar etc.","I think a well decorated google dashboard is needed for gcp users. Mostly enough.","Zoom","Google Meet","Google Meet"
"68","1312987809","Female","25-34","Student","","Japan","No","","Many times a day","4-5 hours","Other","Messenger","Meetings","","Yes","No","No","No","3","3","3","3","3","3","3","3","3","3","7","1","7","1","7","2","7","7","7","2","simple and organized","fast internet connection is required for smooth operation. So its a disadvantage for those who do not have fast internet speed.","Provide more online security and protection.","yes","-2","2","1","-3","0","0","0","2","0","0","6","7","1","7","2","6","1","1","1","7","none","complicated","making it user friendly","yes","3","3","3","3","3","3","3","3","3","3","7","1","7","2","7","1","7","7","7","1","well organized","limit of about 100 people that can join the meeting at a time which can be an issue for larger group meetings.","limit of about 100 people that can join the meeting
","yes","Zoom","Zoom","Google Meet"
"69","1207071930","Female","25-34","Student","","Bangladesh ","No","","Once everyday","2-3 hours","Zoom","","Education","","Yes","No","No","No","2","-2","-1","0","0","-1","-1","0","2","1","4","2","5","1","3","2","6","3","5","1","Super fast","This platform can't run more than 100 people ","Change the quantity system ","Yes","-1","3","2","0","2","2","3","3","3","2","7","1","6","7","7","6","6","6","6","6","Light application ","We can't join more then 100 people","Exploring system ","Yes","1","1","2","1","3","0","2","3","-1","0","7","1","7","1","1","1","7","7","7","7","Schedule in a Google calender ","Nothing ","I think this is perfect one ","Yes","Zoom","Zoom","Zoom"
"70","1565969494","Female","25-34","Other","Doctor ","Bangladesh ","No","","Many times a day","4-5 hours","Zoom","","Education","","Yes","No","No","No","2","3","2","2","2","1","1","2","-2","-2","4","3","5","5","5","4","6","4","6","3","Easy","Nothing ","Nothing ","Yes","1","2","0","0","0","1","1","1","0","0","3","5","6","5","4","4","6","4","6","6","Easy
","Nothing ","Nothing ","Yes","2","3","2","2","1","2","2","2","-2","-2","4","4","6","2","6","4","6","4","6","2","Easy ","Nothing ","Nothing ","Yes","Zoom","Zoom","Zoom"
"71","2013957971","Female","25-34","Other","Doctor","Bangladesh","No","","Once or twice a month","2-3 hours","Zoom","","Education","","Yes","No","No","No","2","2","1","1","0","0","0","0","1","-1","1","3","3","4","5","4","5","4","4","5","Audio & video turning off option","Nothing such.","I didn't think about it.","No","1","1","0","0","1","0","0","0","0","0","1","4","5","5","6","2","4","4","2","6","Nothing special.","Nothing such.","Nnever used it so no comment.","Maybe","1","2","2","0","0","0","0","0","0","0","1","4","6","3","3","4","4","4","3","5","Nothing much.","Nothing such.","No preference.","Yeah I guess.","Google Meet","Zoom","Microsoft Teams"
